Length.spi Length.bod scLength.spi scLength.bod treat_dev measurer.spi measurer.bod animal cultureFac blockFac Dam Sire cross
0.11764 0.15698 11.764 15.698 N 0.5 0.5 N1.1_N1.1 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.10891 0.14067 10.891 14.067 N 0.5 0.5 N1.1_N1.10 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.13787 0.16278 13.787 16.278 N 0.5 0.5 N1.1_N1.11 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.10737 0.12914 10.737 12.914 N 0.5 0.5 N1.1_N1.12 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.11287 0.15367 11.287 15.367 N 0.5 0.5 N1.1_N1.13 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12666 0.16294 12.666 16.294 N 0.5 0.5 N1.1_N1.14 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12986 0.15257 12.986 15.257 N 0.5 0.5 N1.1_N1.15 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.08665 0.13588 8.665 13.588 N 0.5 0.5 N1.1_N1.16 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12983 0.14953 12.983 14.953 N 0.5 0.5 N1.1_N1.17 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12957 0.14813 12.957 14.813 N 0.5 0.5 N1.1_N1.18 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.11447 0.13631 11.447 13.631 N 0.5 0.5 N1.1_N1.19 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.10653 0.15176 10.653 15.176 N 0.5 0.5 N1.1_N1.2 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.11962 0.14707 11.962 14.707 N 0.5 0.5 N1.1_N1.20 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.11042 0.14696 11.042 14.696 N 0.5 0.5 N1.1_N1.21 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12271 0.15093 12.271 15.093 N 0.5 0.5 N1.1_N1.22 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12412 0.15473 12.412 15.473 N 0.5 0.5 N1.1_N1.23 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12874 0.15785 12.874 15.785 N 0.5 0.5 N1.1_N1.24 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12381 0.14909 12.381 14.909 N 0.5 0.5 N1.1_N1.25 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.11689 0.14922 11.689 14.922 N 0.5 0.5 N1.1_N1.26 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.1148 0.14926 11.48 14.926 N 0.5 0.5 N1.1_N1.27 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12335 0.15337 12.335 15.337 N 0.5 0.5 N1.1_N1.28 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12844 0.15834 12.844 15.834 N 0.5 0.5 N1.1_N1.29 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.11284 0.13709 11.284 13.709 N 0.5 0.5 N1.1_N1.3 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12037 0.15785 12.037 15.785 N 0.5 0.5 N1.1_N1.30 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12163 0.15573 12.163 15.573 N 0.5 0.5 N1.1_N1.31 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.11869 0.16891 11.869 16.891 N 0.5 0.5 N1.1_N1.32 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.14344 0.12663 14.344 12.663 N 0.5 0.5 N1.1_N1.33 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.13464 0.16307 13.464 16.307 N 0.5 0.5 N1.1_N1.34 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.11479 0.15547 11.479 15.547 N 0.5 0.5 N1.1_N1.35 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.10917 0.14508 10.917 14.508 N 0.5 0.5 N1.1_N1.4 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.11004 0.14508 11.004 14.508 N 0.5 0.5 N1.1_N1.5 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12425 0.14436 12.425 14.436 N 0.5 0.5 N1.1_N1.6 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.11473 0.14062 11.473 14.062 N 0.5 0.5 N1.1_N1.7 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12104 0.15107 12.104 15.107 N 0.5 0.5 N1.1_N1.8 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.12102 0.15073 12.102 15.073 N 0.5 0.5 N1.1_N1.9 N1.1_N1 1 dam_N1 sire_N1 N1N1
0.11074 0.13918 11.074 13.918 N 0.5 0.5 N1.1_N2.1 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.12005 0.14962 12.005 14.962 N 0.5 0.5 N1.1_N2.10 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.11937 0.14965 11.937 14.965 N 0.5 0.5 N1.1_N2.11 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.10815 0.1508 10.815 15.08 N 0.5 0.5 N1.1_N2.12 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.12209 0.14254 12.209 14.254 N 0.5 0.5 N1.1_N2.13 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.12112 0.15465 12.112 15.465 N 0.5 0.5 N1.1_N2.14 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.11549 0.14881 11.549 14.881 N 0.5 0.5 N1.1_N2.15 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.12747 0.15599 12.747 15.599 N 0.5 0.5 N1.1_N2.16 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.1212 0.14512 12.12 14.512 N 0.5 0.5 N1.1_N2.17 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.11202 0.14302 11.202 14.302 N 0.5 0.5 N1.1_N2.18 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.12335 0.15727 12.335 15.727 N 0.5 0.5 N1.1_N2.19 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.12369 0.15395 12.369 15.395 N 0.5 0.5 N1.1_N2.2 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.11757 0.15521 11.757 15.521 N 0.5 0.5 N1.1_N2.20 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.12447 0.16095 12.447 16.095 N 0.5 0.5 N1.1_N2.21 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.10929 0.15116 10.929 15.116 N 0.5 0.5 N1.1_N2.22 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.12302 0.16083 12.302 16.083 N 0.5 0.5 N1.1_N2.23 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.12115 0.15377 12.115 15.377 N 0.5 0.5 N1.1_N2.24 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.09443 0.13871 9.443 13.871 N 0.5 0.5 N1.1_N2.25 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.11591 0.14638 11.591 14.638 N 0.5 0.5 N1.1_N2.26 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.10779 0.15383 10.779 15.383 N 0.5 0.5 N1.1_N2.27 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.11919 0.1543 11.919 15.43 N 0.5 0.5 N1.1_N2.28 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.11574 0.13924 11.574 13.924 N 0.5 0.5 N1.1_N2.29 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.11026 0.14391 11.026 14.391 N 0.5 0.5 N1.1_N2.3 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.1103 0.1389 11.03 13.89 N 0.5 0.5 N1.1_N2.30 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.12356 0.15029 12.356 15.029 N 0.5 0.5 N1.1_N2.31 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.10256 0.14646 10.256 14.646 N 0.5 0.5 N1.1_N2.32 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.12463 0.15272 12.463 15.272 N 0.5 0.5 N1.1_N2.33 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.12265 0.15242 12.265 15.242 N 0.5 0.5 N1.1_N2.34 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.09807 0.1338 9.807 13.38 N 0.5 0.5 N1.1_N2.35 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.10856 0.14736 10.856 14.736 N 0.5 0.5 N1.1_N2.4 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.13101 0.1617 13.101 16.17 N 0.5 0.5 N1.1_N2.5 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.11866 0.14553 11.866 14.553 N 0.5 0.5 N1.1_N2.6 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.12023 0.14968 12.023 14.968 N 0.5 0.5 N1.1_N2.7 N1.1_N2 1 dam_N1 sire_N1 N1N1
