Length.spi Length.bod scLength.spi scLength.bod treat_dev measurer.spi measurer.bod animal cultureFac blockFac Dam Sire cross
0.14047 0.14253 14.047 14.253 N -0.5 -0.5 U1.1_N1.1 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.11147 0.11646 11.147 11.646 N -0.5 -0.5 U1.1_N1.10 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.11299 0.13619 11.299 13.619 N -0.5 -0.5 U1.1_N1.11 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.12418 0.11974 12.418 11.974 N -0.5 -0.5 U1.1_N1.12 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.12755 0.1359 12.755 13.59 N -0.5 -0.5 U1.1_N1.13 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.1345 0.15726 13.45 15.726 N -0.5 -0.5 U1.1_N1.14 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.13132 0.14927 13.132 14.927 N -0.5 -0.5 U1.1_N1.15 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.10362 0.12636 10.362 12.636 N -0.5 -0.5 U1.1_N1.16 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.0883 0.13341 8.83 13.341 N -0.5 -0.5 U1.1_N1.17 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.13089 0.13685 13.089 13.685 N -0.5 -0.5 U1.1_N1.18 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.08086 0.12411 8.086 12.411 N -0.5 -0.5 U1.1_N1.19 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.14081 0.14227 14.081 14.227 N -0.5 -0.5 U1.1_N1.2 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.13341 0.14819 13.341 14.819 N 0.5 0.5 U1.1_N1.20 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.13354 0.14975 13.354 14.975 N 0.5 0.5 U1.1_N1.21 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.12181 0.14266 12.181 14.266 N 0.5 0.5 U1.1_N1.22 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.12949 0.14796 12.949 14.796 N 0.5 0.5 U1.1_N1.23 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.14016 0.14862 14.016 14.862 N 0.5 0.5 U1.1_N1.24 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.13602 0.15139 13.602 15.139 N 0.5 0.5 U1.1_N1.25 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.11822 0.1503 11.822 15.03 N 0.5 0.5 U1.1_N1.26 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.1276 0.15195 12.76 15.195 N 0.5 0.5 U1.1_N1.27 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.12452 0.14748 12.452 14.748 N 0.5 0.5 U1.1_N1.28 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.12213 0.1393 12.213 13.93 N 0.5 0.5 U1.1_N1.29 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.12116 0.13276 12.116 13.276 N -0.5 -0.5 U1.1_N1.3 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.12796 0.14934 12.796 14.934 N 0.5 0.5 U1.1_N1.30 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.12798 0.15533 12.798 15.533 N 0.5 0.5 U1.1_N1.31 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.11527 0.14902 11.527 14.902 N 0.5 0.5 U1.1_N1.32 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.14346 0.14744 14.346 14.744 N 0.5 0.5 U1.1_N1.33 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.11679 0.14832 11.679 14.832 N 0.5 0.5 U1.1_N1.34 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.11603 0.14483 11.603 14.483 N 0.5 0.5 U1.1_N1.35 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.11491 0.13651 11.491 13.651 N -0.5 -0.5 U1.1_N1.4 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.12782 0.13566 12.782 13.566 N -0.5 -0.5 U1.1_N1.5 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.10729 0.14721 10.729 14.721 N -0.5 -0.5 U1.1_N1.6 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.10426 0.13446 10.426 13.446 N -0.5 -0.5 U1.1_N1.7 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.12018 0.13377 12.018 13.377 N -0.5 -0.5 U1.1_N1.8 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.11956 0.1285 11.956 12.85 N -0.5 -0.5 U1.1_N1.9 U1.1_N1 6 dam_U1 sire_U1 U1U1
0.12523 0.15283 12.523 15.283 N 0.5 0.5 U1.1_N2.1 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.11762 0.15 11.762 15 N 0.5 0.5 U1.1_N2.10 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13155 0.15334 13.155 15.334 N 0.5 0.5 U1.1_N2.11 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12209 0.14986 12.209 14.986 N 0.5 0.5 U1.1_N2.12 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12153 0.1467 12.153 14.67 N 0.5 0.5 U1.1_N2.13 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.11657 0.14894 11.657 14.894 N 0.5 0.5 U1.1_N2.14 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.11719 0.14965 11.719 14.965 N 0.5 0.5 U1.1_N2.15 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12692 0.1498 12.692 14.98 N 0.5 0.5 U1.1_N2.16 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13251 0.15157 13.251 15.157 N 0.5 0.5 U1.1_N2.17 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13539 0.15915 13.539 15.915 N 0.5 0.5 U1.1_N2.18 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13289 0.15201 13.289 15.201 N 0.5 0.5 U1.1_N2.19 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13396 0.14864 13.396 14.864 N 0.5 0.5 U1.1_N2.2 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13194 0.14382 13.194 14.382 N 0.5 0.5 U1.1_N2.20 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.09684 0.15228 9.684 15.228 N 0.5 0.5 U1.1_N2.21 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12349 0.14732 12.349 14.732 N 0.5 0.5 U1.1_N2.22 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12596 0.15583 12.596 15.583 N 0.5 0.5 U1.1_N2.23 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12366 0.15483 12.366 15.483 N 0.5 0.5 U1.1_N2.24 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.11579 0.14785 11.579 14.785 N 0.5 0.5 U1.1_N2.25 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12527 0.15505 12.527 15.505 N 0.5 0.5 U1.1_N2.26 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12152 0.12821 12.152 12.821 N 0.5 0.5 U1.1_N2.27 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13432 0.15112 13.432 15.112 N 0.5 0.5 U1.1_N2.28 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13482 0.15735 13.482 15.735 N 0.5 0.5 U1.1_N2.29 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12733 0.15472 12.733 15.472 N 0.5 0.5 U1.1_N2.3 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.0985 0.15074 9.85 15.074 N 0.5 0.5 U1.1_N2.30 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12894 0.1484 12.894 14.84 N 0.5 0.5 U1.1_N2.31 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12159 0.14863 12.159 14.863 N 0.5 0.5 U1.1_N2.32 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13294 0.15458 13.294 15.458 N 0.5 0.5 U1.1_N2.33 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.1182 0.14413 11.82 14.413 N 0.5 0.5 U1.1_N2.34 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12782 0.146 12.782 14.6 N 0.5 0.5 U1.1_N2.35 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12521 0.15151 12.521 15.151 N 0.5 0.5 U1.1_N2.4 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13682 0.15477 13.682 15.477 N 0.5 0.5 U1.1_N2.5 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13059 0.15617 13.059 15.617 N 0.5 0.5 U1.1_N2.6 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.11607 0.14859 11.607 14.859 N 0.5 0.5 U1.1_N2.7 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.1222 0.14269 12.22 14.269 N 0.5 0.5 U1.1_N2.8 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.11872 0.15913 11.872 15.913 N 0.5 0.5 U1.1_N2.9 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12188 0.14199 12.188 14.199 U 0.5 0.5 U1.1_U1.1 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.11306 0.13924 11.306 13.924 U 0.5 0.5 U1.1_U1.10 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09924 0.13577 9.924 13.577 U 0.5 0.5 U1.1_U1.11 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.11529 0.13737 11.529 13.737 U 0.5 0.5 U1.1_U1.12 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.10486 0.1433 10.486 14.33 U 0.5 0.5 U1.1_U1.13 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09071 0.14126 9.071 14.126 U 0.5 0.5 U1.1_U1.14 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.08485 0.13274 8.485 13.274 U 0.5 0.5 U1.1_U1.15 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09396 0.13631 9.396 13.631 U 0.5 0.5 U1.1_U1.16 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.10049 0.13078 10.049 13.078 U 0.5 0.5 U1.1_U1.17 U1.1_U1 6 dam_U1 sire_U1 U1U1
