culture treat_dev PercAb blockFac
N1.1_N1 N 0.066666667 1
N1.1_N2 N 0.166666667 1
N1.2_N1 N 0.133333333 1
N1.2_N2 N 0.066666667 1
N10.10_N1 N 0.113207547 5
N10.10_N2 N 0.052631579 5
N10.9_N1 N 0.014705882 5
N10.9_N2 N 0.053846154 5
N2.1_N1 N 0.2 1
N2.1_N2 N 0.3 1
N2.2_N1 N 0.2 1
N2.2_N2 N 0.133333333 1
N3.3_N1 N 0.028571429 2
N3.3_N2 N 0.010869565 2
N3.4_N1 N 0 2
N3.4_N2 N 0.1 2
N4.3_N1 N 0.038961039 2
N4.3_N2 N 0.111111111 2
N4.4_N1 N 0.032608696 2
N4.4_N2 N 0.027777778 2
N5.5_N1 N 0.434782609 3
N5.5_N2 N 0.461538462 3
N5.6_N1 N 0.142857143 3
N5.6_N2 N 0.14159292 3
N6.5_N1 N 0.406976744 3
N6.5_N2 N 0.714285714 3
N6.6_N1 N 0.205607477 3
N6.6_N2 N 0.262135922 3
N7.7_N1 N 0.138211382 4
N7.7_N2 N 0.39047619 4
N7.8_N1 N 0.25 4
N7.8_N2 N 0.081081081 4
N8.7_N1 N 0.172727273 4
N8.7_N2 N 0.063063063 4
N8.8_N1 N 0.441860465 4
N8.8_N2 N 0.377358491 4
N9.10_N1 N 0.157894737 5
N9.10_N2 N 0.164556962 5
N9.9_N1 N 0.033557047 5
N9.9_N2 N 0.113475177 5
N1.1_U1 U 0 1
N1.1_U2 U 0.066666667 1
N1.2_U1 U 0.052631579 1
N1.2_U2 U 0.041666667 1
N10.10_U1 U 0.1 5
N10.10_U2 U 0.04040404 5
N10.9_U1 U 0.030927835 5
N10.9_U2 U 0 5
N2.1_U1 U 0.263157895 1
N2.1_U2 U 0.2 1
N2.2_U1 U 0.225806452 1
N2.2_U2 U 0.166666667 1
N3.3_U1 U 0.090909091 2
N3.3_U2 U 0.03125 2
N3.4_U1 U 0.138888889 2
N3.4_U2 U 0.062068966 2
N4.3_U1 U 0.082191781 2
N4.3_U2 U 0.047945205 2
N4.4_U1 U 0.064516129 2
N4.4_U2 U 0.047058824 2
N5.5_U1 U 0.321428571 3
N5.5_U2 U 0.348837209 3
N5.6_U1 U 0.233333333 3
N5.6_U2 U 0.18627451 3
N6.5_U1 U 0.401515152 3
N6.5_U2 U 0.356589147 3
N6.6_U1 U 0.30952381 3
N6.6_U2 U 0.213483146 3
N7.7_U1 U 0.28 4
N7.7_U2 U 0.274074074 4
N7.8_U1 U 0.117021277 4
N7.8_U2 U 0.139130435 4
N8.7_U1 U 0.152671756 4
N8.7_U2 U 0.154761905 4
N8.8_U1 U 0.609375 4
N8.8_U2 U 0.517647059 4
N9.10_U1 U 0.125 5
N9.10_U2 U 0.093220339 5
N9.9_U1 U 0.080645161 5
N9.9_U2 U 0.067961165 5
