culture treat_dev PercAb blockFac
U1.1_N1 N 0.451612903 6
U1.1_N2 N 0.558823529 6
U1.2_N1 N 0.475 6
U1.2_N2 N 0.551724138 6
U10.10_N1 N 0.275862069 10
U10.10_N2 N 0.171717172 10
U10.9_N1 N 0.393617021 10
U10.9_N2 N 0.402298851 10
U2.1_N1 N 0.067307692 6
U2.1_N2 N 0.125 6
U2.2_N1 N 0.053763441 6
U2.2_N2 N 0.06741573 6
U3.3_N1 N 0.021276596 7
U3.3_N2 N 0.065420561 7
U3.4_N1 N 0.055555556 7
U3.4_N2 N 0.096153846 7
U4.3_N1 N 0.027272727 7
U4.3_N2 N 0.038095238 7
U4.4_N1 N 0.035714286 7
U4.4_N2 N 0.05952381 7
U5.5_N1 N 0.218390805 8
U5.5_N2 N 0.14893617 8
U5.6_N1 N 0.214285714 8
U5.6_N2 N 0.166666667 8
U6.5_N1 N 0.25974026 8
U6.5_N2 N 0.320512821 8
U6.6_N1 N 0.225806452 8
U6.6_N2 N 0.2265625 8
U7.7_N1 N 0.02919708 9
U7.7_N2 N 0.076923077 9
U7.8_N1 N 0.031746032 9
U7.8_N2 N 0.041666667 9
U8.7_N1 N 0.085714286 9
U8.7_N2 N 0.03968254 9
U8.8_N1 N 0.070588235 9
U8.8_N2 N 0.111111111 9
U9.10_N1 N 0.426829268 10
U9.10_N2 N 0.265060241 10
U9.9_N1 N 0.315789474 10
U9.9_N2 N 0.420289855 10
U1.1_U1 U 0.681818182 6
U1.1_U2 U 0.612244898 6
U1.2_U1 U 0.615384615 6
U1.2_U2 U 0.583333333 6
U10.10_U1 U 0.116666667 10
U10.10_U2 U 0.225806452 10
U10.9_U1 U 0.327586207 10
U10.9_U2 U 0.307692308 10
U2.1_U1 U 0.236842105 6
U2.1_U2 U 0.125 6
U2.2_U1 U 0.255319149 6
U2.2_U2 U 0.0875 6
U3.3_U1 U 0.051612903 7
U3.3_U2 U 0.070175439 7
U3.4_U1 U 0.028571429 7
U3.4_U2 U 0.06779661 7
U4.3_U1 U 0.051724138 7
U4.3_U2 U 0.074626866 7
U4.4_U1 U 0.102362205 7
U4.4_U2 U 0.092783505 7
U5.5_U1 U 0.261363636 8
U5.5_U2 U 0.225225225 8
U5.6_U1 U 0.207317073 8
U5.6_U2 U 0.210526316 8
U6.5_U1 U 0.53968254 8
U6.5_U2 U 0.315384615 8
U6.6_U1 U 0.161971831 8
U6.6_U2 U 0.217687075 8
U7.7_U1 U 0.084745763 9
U7.7_U2 U 0.115942029 9
U7.8_U1 U 0.071428571 9
U7.8_U2 U 0.164383562 9
U8.7_U1 U 0.088888889 9
U8.7_U2 U 0.098039216 9
U8.8_U1 U 0.102739726 9
U8.8_U2 U 0.176 9
U9.10_U1 U 0.404761905 10
U9.10_U2 U 0.370967742 10
U9.9_U1 U 0.375 10
U9.9_U2 U 0.358974359 10
