Sample,Filtered Reads,Total Mapping Rate (%),Unique Mapping Rate (%),Multi-Mapping Rate (%)
N1010_N1_RNA_S38_L001_R1,37827861,75.81,65.92410023,9.884130112
N1010_U2_RNA_S39_L001_R1,36250105,75.81,65.42316774,10.38635336
N109_N1_RNA_S40_L001_R1,33672506,75.44,65.47900236,9.965818998
N109_U1_RNA_S41_L001_R1,31594152,74.91,64.88266246,10.0306791
N11_N1_RNA_S2_L001_R1,47205066,76.96,65.48858548,11.4749866
N11_U1_RNA_S3_L001_R1,45309651,75.83,64.49452899,11.33783838
N12_N1_RNA_S4_L001_R1,37209538,75.61,65.74742745,9.86027561
N12_U2_RNA_S5_L001_R1,44745435,75.93,65.60842017,10.32043157
N21_N1_RNA_S6_L001_R1,42030100,73.94,63.87050471,10.07022824
N21_U2_RNA_S7_L001_R1,40109019,74.31,64.0144577,10.2984618
N22_N2_RNA_S8_L001_R1,47274242,75.44,65.35550586,10.08708506
N22_U1_RNA_S9_L001_R1,36080853,75.24,63.7534484,11.48879158
N33_N1_RNA_S10_L001_R1,34174423,76.36,66.06048916,10.30319956
N33_U1_RNA_S11_L001_R1,27227867,74.98,64.89346007,10.08445502
N34_N1_RNA_S12_L001_R1,34638872,75.38,63.83937098,11.54147283
N34_U2_RNA_S13_L001_R1,47542536,75.7,65.10149774,10.5972071
N43_N2_RNA_S14_L001_R1,40312530,75.35,65.24239734,10.10335992
N43_U1_RNA_S15_L001_R1,39160939,73.97,63.77172161,10.19349919
N44_N1_RNA_S16_L001_R1,32812077,73.14,63.45278904,9.68559229
N44_U1_RNA_S17_L001_R1,35880365,75.55,64.96222377,10.59130251
N55_N2_RNA_S18_L001_R1,34744324,72.65,62.49929629,10.15357789
N55_U1_RNA_S19_L001_R1,32508793,70.2,60.51063477,9.692522266
N56_N2_RNA_S20_L001_R1,36422487,71.59,61.8379327,9.756662141
N56_U2_RNA_S21_L001_R1,37014340,71.46,61.78413555,9.674428884
N65_N1_RNA_S22_L001_R1,32718449,73.31,63.16507852,10.14571626
N65_U2_RNA_S23_L001_R1,35708504,74.27,64.13703022,10.13370653
N66_N2_RNA_S24_L001_R1,28304898,73.7,63.24915921,10.44694455
N66_U2_RNA_S25_L001_R1,31551707,71.88,62.04832911,9.833791243
N77_N1_RNA_S26_L001_R1,34916441,74.43,62.47572025,11.95870736
N77_U1_RNA_S27_L001_R1,33336789,70.38,60.31187347,10.06762829
N78_N2_RNA_S28_L001_R1,38388028,71.45,61.50501401,9.944345148
