Sample	Top over-represented sequence	Sum of remaining over-represented sequences
N1010_N1_RNA_S38_L001_R1	0.1135723746050563	0.10920257954844449
N1010_N1_RNA_S38_L001_R2	0.16160877044305555	0.0
N1010_U2_RNA_S39_L001_R1	0.14397751399616635	0.11688517867741346
N1010_U2_RNA_S39_L001_R2	0.16227639314167197	0.13637338228802454
N109_N1_RNA_S40_L001_R1	0.18839999612740435	0.1581349484353793
N109_N1_RNA_S40_L001_R2	0.18591014869698935	0.12923615932293925
N109_U1_RNA_S41_L001_R1	0.13742100120300746	0.12147184706840683
N109_U1_RNA_S41_L001_R2	0.15813673914300408	0.10527335345136907
N11_N1_RNA_S2_L001_R1	0.0	0.0
N11_N1_RNA_S2_L001_R2	0.12939991516074995	0.0
N11_U1_RNA_S3_L001_R1	0.0	0.0
N11_U1_RNA_S3_L001_R2	0.13748394845362003	0.10865265483883343
N12_N1_RNA_S4_L001_R1	0.10105473494457255	0.0
N12_N1_RNA_S4_L001_R2	0.1899322118150959	0.0
N12_U2_RNA_S5_L001_R1	0.1236327236510272	0.0
N12_U2_RNA_S5_L001_R2	0.16336964700930226	0.0
N21_N1_RNA_S6_L001_R1	0.11561714104891495	0.0
N21_N1_RNA_S6_L001_R2	0.2507206967653607	0.3001147433332654
N21_U2_RNA_S7_L001_R1	0.14639101494853315	0.12809338468238282
N21_U2_RNA_S7_L001_R2	0.2946722934705718	0.3410096503534207
N22_N2_RNA_S8_L001_R1	0.12879106554474212	0.12849915182140836
N22_N2_RNA_S8_L001_R2	0.27283826196631533	0.3220859291029484
N22_U1_RNA_S9_L001_R1	0.10380297827216002	0.0
N22_U1_RNA_S9_L001_R2	0.2125461192220197	0.17378659860125867
N33_N1_RNA_S10_L001_R1	0.10724102057260776	0.0
N33_N1_RNA_S10_L001_R2	0.11884583035659863	0.0
N33_U1_RNA_S11_L001_R1	0.1347920496306229	0.13367554645393265
N33_U1_RNA_S11_L001_R2	0.14035276126423607	0.13471430463005413
N34_N1_RNA_S12_L001_R1	0.13033334341834227	0.12815948510101602
N34_N1_RNA_S12_L001_R2	0.14445150860644967	0.13163910909333848
N34_U2_RNA_S13_L001_R1	0.10302773920179605	0.0
N34_U2_RNA_S13_L001_R2	0.14823349994178583	0.0
N43_N2_RNA_S14_L001_R1	0.10045015780453372	0.0
N43_N2_RNA_S14_L001_R2	0.14461026789176484	0.0
N43_U1_RNA_S15_L001_R1	0.1143486370436623	0.11161376901611067
N43_U1_RNA_S15_L001_R2	0.20241779366555507	0.150352344907499
N44_N1_RNA_S16_L001_R1	0.18358179520302845	0.17872992313165667
N44_N1_RNA_S16_L001_R2	0.267151167441228	0.34630915195533407
N44_U1_RNA_S17_L001_R1	0.11517720067786379	0.0
N44_U1_RNA_S17_L001_R2	0.17803251570367276	0.11097157444806735
N55_N2_RNA_S18_L001_R1	0.34351222375200047	0.42169765628480776
N55_N2_RNA_S18_L001_R2	0.37175903116340836	0.5921307456128181
N55_U1_RNA_S19_L001_R1	0.23378597907341558	0.46390218178817033
N55_U1_RNA_S19_L001_R2	0.47397293252895556	0.9339118786471593
N56_N2_RNA_S20_L001_R1	0.14189311125294657	0.25703077332418295
N56_N2_RNA_S20_L001_R2	0.30658640735890946	0.40816076472634083
N56_U2_RNA_S21_L001_R1	0.31273284894449016	0.35924455224650775
N56_U2_RNA_S21_L001_R2	0.4102677381978736	0.7223821452242691
N65_N1_RNA_S22_L001_R1	0.25201377974854494	0.18011550608648957
N65_N1_RNA_S22_L001_R2	0.3558502820409623	0.33844096806743257
N65_U2_RNA_S23_L001_R1	0.13595360925789554	0.12160968714903317
N65_U2_RNA_S23_L001_R2	0.1881493702357793	0.10372972608771272
