Sample	Unique Reads	Duplicate Reads
N1010_N1_RNA_S38_L001_R1	18026370.0	19801491.0
N1010_N1_RNA_S38_L001_R2	19752965.0	17479544.0
N1010_U2_RNA_S39_L001_R1	17152241.0	19097864.0
N1010_U2_RNA_S39_L001_R2	18411353.0	17267897.0
N109_N1_RNA_S40_L001_R1	16215008.0	17457498.0
N109_N1_RNA_S40_L001_R2	17605393.0	15482096.0
N109_U1_RNA_S41_L001_R1	15653250.0	15940902.0
N109_U1_RNA_S41_L001_R2	16909174.0	14187964.0
N11_N1_RNA_S2_L001_R1	21176117.0	26028949.0
N11_N1_RNA_S2_L001_R2	23125226.0	23487633.0
N11_U1_RNA_S3_L001_R1	20083780.0	25225871.0
N11_U1_RNA_S3_L001_R2	21928556.0	22672287.0
N12_N1_RNA_S4_L001_R1	16979626.0	20229912.0
N12_N1_RNA_S4_L001_R2	18538145.0	18175480.0
N12_U2_RNA_S5_L001_R1	20037585.0	24707850.0
N12_U2_RNA_S5_L001_R2	21803264.0	22593600.0
N21_N1_RNA_S6_L001_R1	19726980.0	22303120.0
N21_N1_RNA_S6_L001_R2	21113288.0	20108279.0
N21_U2_RNA_S7_L001_R1	18327328.0	21781691.0
N21_U2_RNA_S7_L001_R2	19836556.0	19447083.0
N22_N2_RNA_S8_L001_R1	20665073.0	26609169.0
N22_N2_RNA_S8_L001_R2	22569602.0	23986918.0
N22_U1_RNA_S9_L001_R1	17226376.0	18854477.0
N22_U1_RNA_S9_L001_R2	18209986.0	17275489.0
N33_N1_RNA_S10_L001_R1	16719169.0	17455254.0
N33_N1_RNA_S10_L001_R2	18157556.0	15539882.0
N33_U1_RNA_S11_L001_R1	13612032.0	13615835.0
N33_U1_RNA_S11_L001_R2	14437477.0	12342901.0
N34_N1_RNA_S12_L001_R1	16234077.0	18404795.0
N34_N1_RNA_S12_L001_R2	17418391.0	16634559.0
N34_U2_RNA_S13_L001_R1	20694920.0	26847616.0
N34_U2_RNA_S13_L001_R2	22776163.0	24257065.0
N43_N2_RNA_S14_L001_R1	19171703.0	21140827.0
N43_N2_RNA_S14_L001_R2	20676271.0	19128648.0
N43_U1_RNA_S15_L001_R1	17930100.0	21230839.0
N43_U1_RNA_S15_L001_R2	19336502.0	19113181.0
N44_N1_RNA_S16_L001_R1	15352843.0	17459234.0
N44_N1_RNA_S16_L001_R2	16852886.0	15151466.0
N44_U1_RNA_S17_L001_R1	16859227.0	19021138.0
N44_U1_RNA_S17_L001_R2	18040907.0	17314994.0
N55_N2_RNA_S18_L001_R1	15699524.0	19044800.0
N55_N2_RNA_S18_L001_R2	16785455.0	17309211.0
N55_U1_RNA_S19_L001_R1	14810232.0	17698561.0
N55_U1_RNA_S19_L001_R2	15272092.0	16180126.0
N56_N2_RNA_S20_L001_R1	17086516.0	19335971.0
N56_N2_RNA_S20_L001_R2	17642020.0	17778337.0
N56_U2_RNA_S21_L001_R1	16020312.0	20994028.0
N56_U2_RNA_S21_L001_R2	17347469.0	18751153.0
N65_N1_RNA_S22_L001_R1	15901113.0	16817336.0
N65_N1_RNA_S22_L001_R2	17093307.0	14665555.0
N65_U2_RNA_S23_L001_R1	17054840.0	18653664.0
N65_U2_RNA_S23_L001_R2	18563793.0	16537042.0
N66_N2_RNA_S24_L001_R1	14062976.0	14241922.0
N66_N2_RNA_S24_L001_R2	14929158.0	12791465.0
N66_U2_RNA_S25_L001_R1	15621087.0	15930620.0
N66_U2_RNA_S25_L001_R2	16052387.0	14656296.0
N77_N1_RNA_S26_L001_R1	16370234.0	18546207.0
N77_N1_RNA_S26_L001_R2	17552323.0	16733347.0
N77_U1_RNA_S27_L001_R1	14949582.0	18387207.0
N77_U1_RNA_S27_L001_R2	15722296.0	16489561.0
N78_N2_RNA_S28_L001_R1	17368615.0	21019413.0
N78_N2_RNA_S28_L001_R2	18299951.0	19153747.0
N78_U2_RNA_S29_L001_R1	18466626.0	24592048.0
N78_U2_RNA_S29_L001_R2	19960949.0	22187093.0
N87_N1_RNA_S30_L001_R1	16513925.0	19133372.0
N87_N1_RNA_S30_L001_R2	17819050.0	16964599.0
N87_U1_RNA_S31_L001_R1	14855444.0	17622990.0
N87_U1_RNA_S31_L001_R2	15766145.0	15563681.0
N88_N1_RNA_S32_L001_R1	15877930.0	18789242.0
N88_N1_RNA_S32_L001_R2	17030594.0	16931698.0
N88_U1_RNA_S33_L001_R1	15038189.0	16879816.0
N88_U1_RNA_S33_L001_R2	16061253.0	15262901.0
N910_N2_RNA_S34_L001_R1	19622899.0	24229664.0
N910_N2_RNA_S34_L001_R2	21657307.0	21652803.0
N910_U2_RNA_S35_L001_R1	17803444.0	21273545.0
N910_U2_RNA_S35_L001_R2	19419514.0	19208430.0
N99_N1_RNA_S36_L001_R1	18939001.0	22411070.0
N99_N1_RNA_S36_L001_R2	20776604.0	20025867.0
N99_U1_RNA_S37_L001_R1	16104866.0	17786006.0
N99_U1_RNA_S37_L001_R2	17954000.0	15322814.0
U1010_N1_RNA_S80_L001_R1	16122891.0	18218750.0
U1010_N1_RNA_S80_L001_R2	17508502.0	16014715.0
U1010_U1_RNA_S81_L001_R1	16919094.0	18414614.0
U1010_U1_RNA_S81_L001_R2	18616671.0	16131970.0
U109_N2_RNA_S78_L001_R1	19660101.0	23726945.0
U109_N2_RNA_S78_L001_R2	21534512.0	21272507.0
U109_U1_RNA_S79_L001_R1	20526272.0	26639885.0
