Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
N1010_N1_RNA_S38_L001_R1										14.366229449429166	3.6110423511325687	5.018368073748295	1.4045706713377424	2.6560342999816857	0.9217965546820972	0.9862168949063768
N1010_N1_RNA_S38_L001_R2										12.090140940002984	2.9332699256047845	4.260162017732127	1.3058964878815413	2.905304000652055	0.6402698728681475	0.879973118937313
N1010_U2_RNA_S39_L001_R1										14.431263779385493	3.842592615316281	5.4642023851601	1.5057332968528105	2.7151958516015364	0.9273519543936284	0.9244946100953197
N1010_U2_RNA_S39_L001_R2										12.44673425065359	3.1402479973063455	4.800076974009609	1.4556869336668212	2.9393836818741463	0.6388710913115775	0.8899370286569244
N109_N1_RNA_S40_L001_R1										14.129308687811925	3.5816179183488095	5.131964021671907	1.501294442395288	2.6256219695486043	0.9122175145375182	1.1021699903017548
N109_N1_RNA_S40_L001_R2										11.833990700732322	2.9413546923161062	4.439557261156265	1.3506060755760192	2.9367102560757754	0.6036402813997511	0.9010725090472278
N109_U1_RNA_S41_L001_R1										13.798292521190767	3.3495163972924	5.0169008068322265	1.40164813017237	2.61432640935298	0.7741459208363858	0.7199407414557599
N109_U1_RNA_S41_L001_R2										11.667483685241724	2.8492083584870005	4.296096535570877	1.387531659881795	2.7682970925934884	0.3808314377001086	0.7724692176839899
N11_N1_RNA_S2_L001_R1										15.392846055894067	3.971648906398613	5.92572153873566	1.7608349971674522	2.8979937560760396	0.9255058575654997	0.7999664470442928
N11_N1_RNA_S2_L001_R2										13.440099560349953	3.3862083616840155	5.156664832080689	1.6458664809712795	2.938603590421453	0.6880958190972668	0.7343370766496646
N11_U1_RNA_S3_L001_R1										15.016296423974243	4.042133316197809	6.275478959183775	2.004804777740093	3.462458841152971	1.2332767013173567	1.051158543703704
N11_U1_RNA_S3_L001_R2										12.812569126224496	3.3710639419113635	5.664234461394662	1.9370007214347895	3.5505445512651446	0.9322182262693518	1.0616535301595147
N12_N1_RNA_S4_L001_R1										14.853616682886663	3.945410418364903	5.781375809613715	1.751347394787293	3.0284375706842273	1.1821173119414605	1.101055137383187
N12_N1_RNA_S4_L001_R2										12.698969439499635	3.343307131599099	5.121635913224627	1.5919818146088796	3.315780557307921	0.8283476871450303	0.9837039714988166
N12_U2_RNA_S5_L001_R1										15.306852660215261	3.9223713003470793	5.8577754649120415	1.5862151172070176	2.7184659577245593	1.158312202202409	1.1359989663375174
N12_U2_RNA_S5_L001_R2										13.022137451785646	3.4480449481096906	4.950417430399504	1.5168201181909535	3.118216321272229	0.8153635992148461	0.9729313586477957
N21_N1_RNA_S6_L001_R1										14.379120261070854	3.4777964781307555	4.857531556498527	1.4802309684255754	3.2170179092259783	1.3548742891843677	1.724800330553718
N21_N1_RNA_S6_L001_R2										12.005686575832781	2.8991297405189043	4.0566496058205805	1.402908827021842	3.691157569407858	1.3083611353830797	1.559748102933952
N21_U2_RNA_S7_L001_R1										14.62286509020691	3.647259127382838	5.306162311571185	1.639181938105228	3.520086983271457	1.3180958447803635	2.2690676586897074
N21_U2_RNA_S7_L001_R2										12.08038194044374	3.067349824569079	4.588599910881402	1.538728854695045	3.933816920941475	1.4866158604746809	1.788402401781004
N22_N2_RNA_S8_L001_R1										15.48396745562852	3.8755280482789005	5.674128266076355	1.595093362020456	3.215760055714549	1.2215872895889237	2.1127533538420145
N22_N2_RNA_S8_L001_R2										13.125661347570352	3.305867638705942	4.6367971913323665	1.5248296422540801	3.501030737662441	1.3769640698135799	1.7267682524842194
N22_U1_RNA_S9_L001_R1										13.583820090184851	3.4443023220569433	5.303552387252573	1.8838863154202572	3.5104962369427386	1.1911020077983447	1.2964112280209403
N22_U1_RNA_S9_L001_R2										11.724187402248536	3.085222378630612	4.916448072051552	1.7908966545782727	3.800638464661988	1.039740244888012	1.2161214095637127
N33_N1_RNA_S10_L001_R1										14.49846381191287	3.684166929562058	5.1238609808912665	1.4337099777476645	2.1340976152110227	0.4926305273922645	0.2829564997511223
N33_N1_RNA_S10_L001_R2										12.428745496697454	3.065653613016727	4.5489323871041165	1.3530573273013424	1.9263265574226343	0.28005070782287317	0.3727034747506456
N33_U1_RNA_S11_L001_R1										13.720342911157916	3.5064879491043657	5.393784722510774	1.6370842928727185	2.6222705315148587	0.5595793005645792	0.37152264923490136
N33_U1_RNA_S11_L001_R2										11.780973391187361	3.071622964664001	4.952150003130779	1.6140593540267263	2.3683162456472973	0.34707281202701984	0.5194439475777716
N34_N1_RNA_S12_L001_R1										13.958058186502367	3.7667276091177726	6.318125477801597	2.117146771798064	3.3071009154783955	0.8110452239808323	0.4941447340540011
N34_N1_RNA_S12_L001_R2										12.206811997004884	3.3044926391897786	5.8315171588649495	2.106177118014386	3.0251750722450925	0.4347074227490821	0.6419258934694937
N34_U2_RNA_S13_L001_R1										15.847831881238436	4.288329857418202	6.777224803036976	1.9535727726579497	3.2745794837430307	0.8061888176896077	0.7834029061904638
N34_U2_RNA_S13_L001_R2										13.85963320700195	3.688215847438301	5.780146660984512	1.8587472785865262	3.093032844858875	0.574824972449461	0.7487329983020037
N43_N2_RNA_S14_L001_R1										14.653577306184207	3.609627473197352	4.948657180749782	1.2932866522082422	2.5145447122550193	0.7871742977897561	0.7704042686620807
N43_N2_RNA_S14_L001_R2										12.456605332653526	3.014957640918867	4.26799664749614	1.232580128890882	2.628188906887983	0.5839932057175509	0.7645340055361509
N43_U1_RNA_S15_L001_R1										14.666024509416214	3.794586957102585	5.569731140031102	1.6073093909832876	3.236923997432973	1.2390176800262231	1.334586285909167
N43_U1_RNA_S15_L001_R2										12.471851984283692	3.3018269611605042	4.748341825239408	1.537090934431666	3.529242761475373	1.0539753546578405	1.2184908641563363
N44_N1_RNA_S16_L001_R1										14.494827592282428	3.6841285464792097	5.352395031459448	1.6277893375756076	3.0826047222188997	1.4419940709694843	1.4904806559658967
