Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
N1010_N1_RNA_S38_L001_R1	N1010_N1_RNA_S38_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37827861.0	4.5 Gbp	0.0	26-141	40.0	47.65368446610086	120.6064940071552	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N1010_N1_RNA_S38_L001_R2	N1010_N1_RNA_S38_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37232509.0	4.4 Gbp	0.0	26-141	40.0	53.05300332204339	120.633399538022	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N1010_U2_RNA_S39_L001_R1	N1010_U2_RNA_S39_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36250105.0	4.3 Gbp	0.0	26-141	40.0	47.31638763259187	120.80899569808143	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N1010_U2_RNA_S39_L001_R2	N1010_U2_RNA_S39_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35679250.0	4.3 Gbp	0.0	26-141	40.0	51.602410263890896	121.15684441236853	141	pass	pass	warn	pass	pass	fail	pass	warn	warn	warn	pass
N109_N1_RNA_S40_L001_R1	N109_N1_RNA_S40_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33672506.0	4.1 Gbp	0.0	26-141	39.0	48.155035244885156	122.19212534998138	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N109_N1_RNA_S40_L001_R2	N109_N1_RNA_S40_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33087489.0	4 Gbp	0.0	26-141	40.0	53.20860752013725	122.35002474802485	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N109_U1_RNA_S41_L001_R1	N109_U1_RNA_S41_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31594152.0	3.8 Gbp	0.0	26-141	39.0	49.54476801109886	120.7375287363307	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N109_U1_RNA_S41_L001_R2	N109_U1_RNA_S41_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31097138.0	3.7 Gbp	0.0	26-141	40.0	54.37533587373614	120.90284739386628	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N11_N1_RNA_S2_L001_R1	N11_N1_RNA_S2_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47205066.0	5.5 Gbp	0.0	26-141	40.0	44.85983970216771	117.14733687693605	137	pass	pass	pass	pass	pass	fail	pass	warn	fail	pass	pass
N11_N1_RNA_S2_L001_R2	N11_N1_RNA_S2_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46612859.0	5.4 Gbp	0.0	26-141	41.0	49.61125848274096	117.44644489624633	137	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
N11_U1_RNA_S3_L001_R1	N11_U1_RNA_S3_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45309651.0	5.3 Gbp	0.0	26-141	40.0	44.325611571870034	117.80806164231987	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	pass	pass
