Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
N1010_N1_RNA_S38_L001_R1	52.34631553389914	40.0	120.6064940071552	141	18.181818181818183	37827861.0
N1010_N1_RNA_S38_L001_R2	46.94699667795661	40.0	120.633399538022	141	9.090909090909092	37232509.0
N1010_U2_RNA_S39_L001_R1	52.68361236740813	40.0	120.80899569808143	141	18.181818181818183	36250105.0
N1010_U2_RNA_S39_L001_R2	48.397589736109104	40.0	121.15684441236853	141	9.090909090909092	35679250.0
N109_N1_RNA_S40_L001_R1	51.844964755114844	39.0	122.19212534998138	141	18.181818181818183	33672506.0
N109_N1_RNA_S40_L001_R2	46.79139247986275	40.0	122.35002474802485	141	9.090909090909092	33087489.0
N109_U1_RNA_S41_L001_R1	50.45523198890114	39.0	120.7375287363307	141	18.181818181818183	31594152.0
N109_U1_RNA_S41_L001_R2	45.62466412626386	40.0	120.90284739386628	141	9.090909090909092	31097138.0
N11_N1_RNA_S2_L001_R1	55.14016029783229	40.0	117.14733687693605	137	18.181818181818183	47205066.0
N11_N1_RNA_S2_L001_R2	50.38874151725904	41.0	117.44644489624633	137	9.090909090909092	46612859.0
N11_U1_RNA_S3_L001_R1	55.674388428129966	40.0	117.80806164231987	141	18.181818181818183	45309651.0
N11_U1_RNA_S3_L001_R2	50.83376383425111	40.0	118.00639972208597	141	18.181818181818183	44600843.0
N12_N1_RNA_S4_L001_R1	54.367546293068074	40.0	120.00022561419601	141	18.181818181818183	37209538.0
N12_N1_RNA_S4_L001_R2	49.506091358091986	40.0	120.15750041027003	141	9.090909090909092	36713625.0
N12_U2_RNA_S5_L001_R1	55.21870651875213	40.0	116.64486484487189	137	18.181818181818183	44745435.0
N12_U2_RNA_S5_L001_R2	50.890081797520104	40.0	117.28139694731591	137	18.181818181818183	44396864.0
N21_N1_RNA_S6_L001_R1	53.064638682183414	39.0	119.7026850281108	141	18.181818181818183	42030100.0
N21_N1_RNA_S6_L001_R2	48.780967176664205	39.0	120.09304270262214	141	9.090909090909092	41221567.0
N21_U2_RNA_S7_L001_R1	54.30621937223052	39.0	118.59187760239162	141	18.181818181818183	40109019.0
N21_U2_RNA_S7_L001_R2	49.5042831881975	39.0	118.96477783028196	141	9.090909090909092	39283639.0
N22_N2_RNA_S8_L001_R1	56.28682393649044	40.0	121.17975456909494	141	18.181818181818183	47274242.0
N22_N2_RNA_S8_L001_R2	51.522146609102464	40.0	121.70795269921378	141	18.181818181818183	46556520.0
N22_U1_RNA_S9_L001_R1	52.25618682910285	40.0	118.50849540613687	141	18.181818181818183	36080853.0
