Module	Section	Sample Name	Source
FastQC	all_sections	N1010_N1_RNA_S38_L001_R1	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N1010_N1_RNA_S38_L001_R1_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N1010_N1_RNA_S38_L001_R2	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N1010_N1_RNA_S38_L001_R2_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N1010_U2_RNA_S39_L001_R1	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N1010_U2_RNA_S39_L001_R1_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N1010_U2_RNA_S39_L001_R2	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N1010_U2_RNA_S39_L001_R2_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N109_N1_RNA_S40_L001_R1	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N109_N1_RNA_S40_L001_R1_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N109_N1_RNA_S40_L001_R2	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N109_N1_RNA_S40_L001_R2_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N109_U1_RNA_S41_L001_R1	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N109_U1_RNA_S41_L001_R1_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N109_U1_RNA_S41_L001_R2	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N109_U1_RNA_S41_L001_R2_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N11_N1_RNA_S2_L001_R1	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N11_N1_RNA_S2_L001_R1_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N11_N1_RNA_S2_L001_R2	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N11_N1_RNA_S2_L001_R2_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N11_U1_RNA_S3_L001_R1	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N11_U1_RNA_S3_L001_R1_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N11_U1_RNA_S3_L001_R2	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N11_U1_RNA_S3_L001_R2_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N12_N1_RNA_S4_L001_R1	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N12_N1_RNA_S4_L001_R1_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N12_N1_RNA_S4_L001_R2	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N12_N1_RNA_S4_L001_R2_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N12_U2_RNA_S5_L001_R1	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N12_U2_RNA_S5_L001_R1_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N12_U2_RNA_S5_L001_R2	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N12_U2_RNA_S5_L001_R2_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N21_N1_RNA_S6_L001_R1	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N21_N1_RNA_S6_L001_R1_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N21_N1_RNA_S6_L001_R2	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N21_N1_RNA_S6_L001_R2_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N21_U2_RNA_S7_L001_R1	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N21_U2_RNA_S7_L001_R1_trimmed.fastq.gz_paired_fastqc.zip
FastQC	all_sections	N21_U2_RNA_S7_L001_R2	/home/snbogan/Cross_pHox/CutAdapt_fastqs/fastQC_trimmed/N21_U2_RNA_S7_L001_R2_trimmed.fastq.gz_paired_fastqc.zip
