ID,Dam,Sire
N11_N,DN1,SN1
N12_N,DN1,SN2
N21_N,DN2,SN1
N22_N,DN2,SN2
N33_N,DN3,SN3
N34_N,DN3,SN4
N43_N,DN4,SN3
N44_N,DN4,SN4
N55_N,DN5,SN5
N56_N,DN5,SN6
N65_N,DN6,SN5
N66_N,DN6,SN6
N77_N,DN7,SN7
N78_N,DN7,SN8
N87_N,DN8,SN7
N88_N,DN8,SN8
N99_N,DN9,SN9
N910_N,DN9,SN10
N109_N,DN10,SN9
N1010_N,DN10,SN10
N11_U,DN1,SN1
N12_U,DN1,SN2
N21_U,DN2,SN1
N22_U,DN2,SN2
N33_U,DN3,SN3
N34_U,DN3,SN4
N43_U,DN4,SN3
N44_U,DN4,SN4
N55_U,DN5,SN5
N56_U,DN5,SN6
N65_U,DN6,SN5
N66_U,DN6,SN6
N77_U,DN7,SN7
N78_U,DN7,SN8
N87_U,DN8,SN7
N88_U,DN8,SN8
N99_U,DN9,SN9
N910_U,DN9,SN10
N109_U,DN10,SN9
N1010_U,DN10,SN10
U11_N,DU1,SU1
U12_N,DU1,SU2
U21_N,DU2,SU1
U22_N,DU2,SU2
U33_N,DU3,SU3
U34_N,DU3,SU4
U43_N,DU4,SU3
U44_N,DU4,SU4
U55_N,DU5,SU5
U56_N,DU5,SU6
U65_N,DU6,SU5
U66_N,DU6,SU6
U77_N,DU7,SU7
U78_N,DU7,SU8
U87_N,DU8,SU7
U88_N,DU8,SU8
U99_N,DU9,SU9
U910_N,DU9,SU10
U109_N,DU10,SU9
U1010_N,DU10,SU10
U11_U,DU1,SU1
U12_U,DU1,SU2
U21_U,DU2,SU1
U22_U,DU2,SU2
U33_U,DU3,SU3
U34_U,DU3,SU4
U43_U,DU4,SU3
U44_U,DU4,SU4
U55_U,DU5,SU5
U56_U,DU5,SU6
U65_U,DU6,SU5
U66_U,DU6,SU6
U77_U,DU7,SU7
U78_U,DU7,SU8
U87_U,DU8,SU7
U88_U,DU8,SU8
U99_U,DU9,SU9
U910_U,DU9,SU10
U109_U,DU10,SU9
U1010_U,DU10,SU10
