ID,Dam,Sire
N1N1_N,DN1,SN1
N1N2_N,DN1,SN2
N2N1_N,DN2,SN1
N2N2_N,DN2,SN2
N3N3_N,DN3,SN3
N3N4_N,DN3,SN4
N4N3_N,DN4,SN3
N4N4_N,DN4,SN4
N5N5_N,DN5,SN5
N5N6_N,DN5,SN6
N6N5_N,DN6,SN5
N6N6_N,DN6,SN6
N7N7_N,DN7,SN7
N7N8_N,DN7,SN8
N8N7_N,DN8,SN7
N8N8_N,DN8,SN8
N9N9_N,DN9,SN9
N9N10_N,DN9,SN10
N10N9_N,DN10,SN9
N10N10_N,DN10,SN10
N1N1_U,DN1,SN1
N1N2_U,DN1,SN2
N2N1_U,DN2,SN1
N2N2_U,DN2,SN2
N3N3_U,DN3,SN3
N3N4_U,DN3,SN4
N4N3_U,DN4,SN3
N4N4_U,DN4,SN4
N5N5_U,DN5,SN5
N5N6_U,DN5,SN6
N6N5_U,DN6,SN5
N6N6_U,DN6,SN6
N7N7_U,DN7,SN7
N7N8_U,DN7,SN8
N8N7_U,DN8,SN7
N8N8_U,DN8,SN8
N9N9_U,DN9,SN9
N9N10_U,DN9,SN10
N10N9_U,DN10,SN9
N10N10_U,DN10,SN10
U1U1_N,DU1,SU1
U1U2_N,DU1,SU2
U2U1_N,DU2,SU1
U2U2_N,DU2,SU2
U3U3_N,DU3,SU3
U3U4_N,DU3,SU4
U4U3_N,DU4,SU3
U4U4_N,DU4,SU4
U5U5_N,DU5,SU5
U5U6_N,DU5,SU6
U6U5_N,DU6,SU5
U6U6_N,DU6,SU6
U7U7_N,DU7,SU7
U7U8_N,DU7,SU8
U8U7_N,DU8,SU7
U8U8_N,DU8,SU8
U9U9_N,DU9,SU9
U9U10_N,DU9,SU10
U10U9_N,DU10,SU9
U10U10_N,DU10,SU10
U1U1_U,DU1,SU1
U1U2_U,DU1,SU2
U2U1_U,DU2,SU1
U2U2_U,DU2,SU2
U4U3_U,DU4,SU3
U4U4_U,DU4,SU4
U5U5_U,DU5,SU5
U5U6_U,DU5,SU6
U6U5_U,DU6,SU5
U6U6_U,DU6,SU6
U7U7_U,DU7,SU7
U7U8_U,DU7,SU8
U8U7_U,DU8,SU7
U8U8_U,DU8,SU8
U9U9_U,DU9,SU9
U9U10_U,DU9,SU10
U10U9_U,DU10,SU9
U10U10_U,DU10,SU10
