"Sibship_geneid","geneid","ID","Dam","Sire","F0_env","Sib_FC","Abs_Sib_FC"
"N10N10_gene-LOC115927912","gene-LOC115927912","N10N10_U","N10","N10","N",0.118212247770321,0.118212247770321
"N10N10_gene-LOC115927912","gene-LOC115927912","N10N10_N","N10","N10","N",0.118212247770321,0.118212247770321
"N10N10_gene-LOC584324","gene-LOC584324","N10N10_N","N10","N10","N",0.111259756510725,0.111259756510725
"N10N10_gene-LOC584324","gene-LOC584324","N10N10_U","N10","N10","N",0.111259756510725,0.111259756510725
"N10N10_rna-NM_001123512.1","rna-NM_001123512.1","N10N10_U","N10","N10","N",0.0518645014427451,0.0518645014427451
"N10N10_rna-NM_001123512.1","rna-NM_001123512.1","N10N10_N","N10","N10","N",0.0518645014427451,0.0518645014427451
"N10N10_rna-NM_214496.1","rna-NM_214496.1","N10N10_N","N10","N10","N",-0.0617445464064712,0.0617445464064712
"N10N10_rna-NM_214496.1","rna-NM_214496.1","N10N10_U","N10","N10","N",-0.0617445464064712,0.0617445464064712
"N10N10_rna-XM_001180492.4","rna-XM_001180492.4","N10N10_U","N10","N10","N",0.159314523007758,0.159314523007758
"N10N10_rna-XM_001180492.4","rna-XM_001180492.4","N10N10_N","N10","N10","N",0.159314523007758,0.159314523007758
"N10N10_rna-XM_001181890.4","rna-XM_001181890.4","N10N10_U","N10","N10","N",-0.0714664066917941,0.0714664066917941
"N10N10_rna-XM_001181890.4","rna-XM_001181890.4","N10N10_N","N10","N10","N",-0.0714664066917941,0.0714664066917941
"N10N10_rna-XM_001185403.4","rna-XM_001185403.4","N10N10_N","N10","N10","N",0.0245562167977322,0.0245562167977322
"N10N10_rna-XM_001185403.4","rna-XM_001185403.4","N10N10_U","N10","N10","N",0.0245562167977322,0.0245562167977322
"N10N10_rna-XM_001199284.4","rna-XM_001199284.4","N10N10_N","N10","N10","N",-0.0674721495123478,0.0674721495123478
"N10N10_rna-XM_001199284.4","rna-XM_001199284.4","N10N10_U","N10","N10","N",-0.0674721495123478,0.0674721495123478
"N10N10_rna-XM_001200797.4","rna-XM_001200797.4","N10N10_N","N10","N10","N",-0.112258821572117,0.112258821572117
"N10N10_rna-XM_001200797.4","rna-XM_001200797.4","N10N10_U","N10","N10","N",-0.112258821572117,0.112258821572117
"N10N10_rna-XM_003723357.3","rna-XM_003723357.3","N10N10_N","N10","N10","N",-0.0136008788886252,0.0136008788886252
"N10N10_rna-XM_003723357.3","rna-XM_003723357.3","N10N10_U","N10","N10","N",-0.0136008788886252,0.0136008788886252
"N10N10_rna-XM_003724784.3","rna-XM_003724784.3","N10N10_N","N10","N10","N",0.102918928706253,0.102918928706253
"N10N10_rna-XM_003724784.3","rna-XM_003724784.3","N10N10_U","N10","N10","N",0.102918928706253,0.102918928706253
"N10N10_rna-XM_003726198.3","rna-XM_003726198.3","N10N10_N","N10","N10","N",0.0843656430622025,0.0843656430622025
"N10N10_rna-XM_003726198.3","rna-XM_003726198.3","N10N10_U","N10","N10","N",0.0843656430622025,0.0843656430622025
"N10N10_rna-XM_003728005.3","rna-XM_003728005.3","N10N10_N","N10","N10","N",0.0143824512580438,0.0143824512580438
"N10N10_rna-XM_003728005.3","rna-XM_003728005.3","N10N10_U","N10","N10","N",0.0143824512580438,0.0143824512580438
"N10N10_rna-XM_003728037.3","rna-XM_003728037.3","N10N10_U","N10","N10","N",0.0338557769412918,0.0338557769412918
"N10N10_rna-XM_003728037.3","rna-XM_003728037.3","N10N10_N","N10","N10","N",0.0338557769412918,0.0338557769412918
"N10N10_rna-XM_003728828.3","rna-XM_003728828.3","N10N10_U","N10","N10","N",0.0771520411579934,0.0771520411579934
"N10N10_rna-XM_003728828.3","rna-XM_003728828.3","N10N10_N","N10","N10","N",0.0771520411579934,0.0771520411579934
"N10N10_rna-XM_003729230.3","rna-XM_003729230.3","N10N10_U","N10","N10","N",0.102703152559804,0.102703152559804
"N10N10_rna-XM_003729230.3","rna-XM_003729230.3","N10N10_N","N10","N10","N",0.102703152559804,0.102703152559804
"N10N10_rna-XM_003729819.3","rna-XM_003729819.3","N10N10_U","N10","N10","N",-0.0592027396951309,0.0592027396951309
"N10N10_rna-XM_003729819.3","rna-XM_003729819.3","N10N10_N","N10","N10","N",-0.0592027396951309,0.0592027396951309
"N10N10_rna-XM_003730719.3","rna-XM_003730719.3","N10N10_U","N10","N10","N",0.391034054454884,0.391034054454884
"N10N10_rna-XM_003730719.3","rna-XM_003730719.3","N10N10_N","N10","N10","N",0.391034054454884,0.391034054454884
"N10N10_rna-XM_011663016.2","rna-XM_011663016.2","N10N10_N","N10","N10","N",0.0547882194739628,0.0547882194739628
"N10N10_rna-XM_011663016.2","rna-XM_011663016.2","N10N10_U","N10","N10","N",0.0547882194739628,0.0547882194739628
"N10N10_rna-XM_011665029.2","rna-XM_011665029.2","N10N10_N","N10","N10","N",0.0526823652505666,0.0526823652505666
"N10N10_rna-XM_011665029.2","rna-XM_011665029.2","N10N10_U","N10","N10","N",0.0526823652505666,0.0526823652505666
"N10N10_rna-XM_011665861.2","rna-XM_011665861.2","N10N10_U","N10","N10","N",0.120024082864037,0.120024082864037
"N10N10_rna-XM_011665861.2","rna-XM_011665861.2","N10N10_N","N10","N10","N",0.120024082864037,0.120024082864037
"N10N10_rna-XM_011665915.2","rna-XM_011665915.2","N10N10_N","N10","N10","N",-0.00859468191893247,0.00859468191893247
"N10N10_rna-XM_011665915.2","rna-XM_011665915.2","N10N10_U","N10","N10","N",-0.00859468191893247,0.00859468191893247
"N10N10_rna-XM_011665916.2","rna-XM_011665916.2","N10N10_N","N10","N10","N",0.0282560010610009,0.0282560010610009
"N10N10_rna-XM_011665916.2","rna-XM_011665916.2","N10N10_U","N10","N10","N",0.0282560010610009,0.0282560010610009
"N10N10_rna-XM_011666822.2","rna-XM_011666822.2","N10N10_N","N10","N10","N",0.109237407689691,0.109237407689691
"N10N10_rna-XM_011666822.2","rna-XM_011666822.2","N10N10_U","N10","N10","N",0.109237407689691,0.109237407689691
"N10N10_rna-XM_011667638.2","rna-XM_011667638.2","N10N10_U","N10","N10","N",-0.107381096770564,0.107381096770564
"N10N10_rna-XM_011667638.2","rna-XM_011667638.2","N10N10_N","N10","N10","N",-0.107381096770564,0.107381096770564
"N10N10_rna-XM_011669768.1","rna-XM_011669768.1","N10N10_N","N10","N10","N",-0.0476583507982564,0.0476583507982564
"N10N10_rna-XM_011669768.1","rna-XM_011669768.1","N10N10_U","N10","N10","N",-0.0476583507982564,0.0476583507982564
"N10N10_rna-XM_011670441.2","rna-XM_011670441.2","N10N10_N","N10","N10","N",0.0541000527259018,0.0541000527259018
"N10N10_rna-XM_011670441.2","rna-XM_011670441.2","N10N10_U","N10","N10","N",0.0541000527259018,0.0541000527259018
"N10N10_rna-XM_011673570.2","rna-XM_011673570.2","N10N10_N","N10","N10","N",0.039283193685998,0.039283193685998
