"Sibship_geneid","geneid","ID","Dam","Sire","F0_env","Sib_FC"
"N10N10_gene-LOC580427","gene-LOC580427","N10N10_U","N10","N10","N",0.0124327222369803
"N10N10_gene-LOC580427","gene-LOC580427","N10N10_N","N10","N10","N",0.0124327222369803
"N10N10_gene-LOC587168","gene-LOC587168","N10N10_N","N10","N10","N",-0.27537681205976
"N10N10_gene-LOC587168","gene-LOC587168","N10N10_U","N10","N10","N",-0.27537681205976
"N10N10_gene-LOC754741","gene-LOC754741","N10N10_U","N10","N10","N",-0.152559900535583
"N10N10_gene-LOC754741","gene-LOC754741","N10N10_N","N10","N10","N",-0.152559900535583
"N10N10_rna-NM_001033647.1","rna-NM_001033647.1","N10N10_U","N10","N10","N",0.475335868401756
"N10N10_rna-NM_001033647.1","rna-NM_001033647.1","N10N10_N","N10","N10","N",0.475335868401756
"N10N10_rna-NM_001079553.1","rna-NM_001079553.1","N10N10_U","N10","N10","N",0.0327999111847585
"N10N10_rna-NM_001079553.1","rna-NM_001079553.1","N10N10_N","N10","N10","N",0.0327999111847585
"N10N10_rna-NM_001079556.1","rna-NM_001079556.1","N10N10_N","N10","N10","N",-0.0109930669426675
"N10N10_rna-NM_001079556.1","rna-NM_001079556.1","N10N10_U","N10","N10","N",-0.0109930669426675
"N10N10_rna-NM_001098451.1","rna-NM_001098451.1","N10N10_U","N10","N10","N",-0.539017138067279
"N10N10_rna-NM_001098451.1","rna-NM_001098451.1","N10N10_N","N10","N10","N",-0.539017138067279
"N10N10_rna-NM_001110245.1","rna-NM_001110245.1","N10N10_N","N10","N10","N",0.207164802481841
"N10N10_rna-NM_001110245.1","rna-NM_001110245.1","N10N10_U","N10","N10","N",0.207164802481841
"N10N10_rna-NM_001124760.1","rna-NM_001124760.1","N10N10_U","N10","N10","N",-0.235426368934949
"N10N10_rna-NM_001124760.1","rna-NM_001124760.1","N10N10_N","N10","N10","N",-0.235426368934949
"N10N10_rna-NM_001291301.1","rna-NM_001291301.1","N10N10_U","N10","N10","N",-0.14500223007133
"N10N10_rna-NM_001291301.1","rna-NM_001291301.1","N10N10_N","N10","N10","N",-0.14500223007133
"N10N10_rna-NM_214546.1","rna-NM_214546.1","N10N10_U","N10","N10","N",0.101771559550655
"N10N10_rna-NM_214546.1","rna-NM_214546.1","N10N10_N","N10","N10","N",0.101771559550655
"N10N10_rna-NM_214578.2","rna-NM_214578.2","N10N10_U","N10","N10","N",-0.0440525266037266
"N10N10_rna-NM_214578.2","rna-NM_214578.2","N10N10_N","N10","N10","N",-0.0440525266037266
"N10N10_rna-NM_214600.1","rna-NM_214600.1","N10N10_N","N10","N10","N",0.0891702440558922
"N10N10_rna-NM_214600.1","rna-NM_214600.1","N10N10_U","N10","N10","N",0.0891702440558922
"N10N10_rna-NM_214619.1","rna-NM_214619.1","N10N10_U","N10","N10","N",0.261647285732851
"N10N10_rna-NM_214619.1","rna-NM_214619.1","N10N10_N","N10","N10","N",0.261647285732851
"N10N10_rna-XM_001175939.3","rna-XM_001175939.3","N10N10_N","N10","N10","N",-0.124389360923351
"N10N10_rna-XM_001175939.3","rna-XM_001175939.3","N10N10_U","N10","N10","N",-0.124389360923351
"N10N10_rna-XM_001178255.4","rna-XM_001178255.4","N10N10_U","N10","N10","N",0.250573501687486
"N10N10_rna-XM_001178255.4","rna-XM_001178255.4","N10N10_N","N10","N10","N",0.250573501687486
"N10N10_rna-XM_001178994.4","rna-XM_001178994.4","N10N10_U","N10","N10","N",-0.200631703280461
"N10N10_rna-XM_001178994.4","rna-XM_001178994.4","N10N10_N","N10","N10","N",-0.200631703280461
"N10N10_rna-XM_001180753.4","rna-XM_001180753.4","N10N10_U","N10","N10","N",-0.0928572009621771
"N10N10_rna-XM_001180753.4","rna-XM_001180753.4","N10N10_N","N10","N10","N",-0.0928572009621771
"N10N10_rna-XM_001182835.4","rna-XM_001182835.4","N10N10_N","N10","N10","N",-0.178604207373036
"N10N10_rna-XM_001182835.4","rna-XM_001182835.4","N10N10_U","N10","N10","N",-0.178604207373036
"N10N10_rna-XM_001193519.4","rna-XM_001193519.4","N10N10_N","N10","N10","N",0.0413334303446551
"N10N10_rna-XM_001193519.4","rna-XM_001193519.4","N10N10_U","N10","N10","N",0.0413334303446551
"N10N10_rna-XM_001197720.4","rna-XM_001197720.4","N10N10_N","N10","N10","N",-0.198488954818257
"N10N10_rna-XM_001197720.4","rna-XM_001197720.4","N10N10_U","N10","N10","N",-0.198488954818257
"N10N10_rna-XM_001198416.4","rna-XM_001198416.4","N10N10_N","N10","N10","N",-0.180293632216645
"N10N10_rna-XM_001198416.4","rna-XM_001198416.4","N10N10_U","N10","N10","N",-0.180293632216645
"N10N10_rna-XM_001198442.4","rna-XM_001198442.4","N10N10_N","N10","N10","N",-0.426840480556783
"N10N10_rna-XM_001198442.4","rna-XM_001198442.4","N10N10_U","N10","N10","N",-0.426840480556783
